                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9031,                 4.2809,                 2.4986,                0.69064,                0.21467,                0.16279,                0.05207,                 2.2994,                 2.7969,                 2.1854,             0.00055126,             0.00055126,             0.00055126
                      1,                 2.1756,                 2.2236,                 2.0283,                0.63705,                0.44301,                0.41114,                0.17356,                 1.9571,                 1.7815,                 1.9359,              0.0010756,              0.0010756,              0.0010756
                      2,                 1.8837,                 1.6666,                 1.7966,                 0.6078,                0.55858,                0.49663,                0.23694,                 1.7786,                  1.446,                 1.7655,              0.0015685,              0.0015685,              0.0015685
                      3,                 1.7352,                 1.4754,                 1.6925,                0.70235,                0.57348,                0.55691,                0.28315,                 1.6847,                 1.3184,                 1.6908,              0.0015255,              0.0015255,              0.0015255
                      4,                 1.6207,                 1.3173,                 1.6155,                0.68275,                0.64088,                0.58838,                0.31467,                 1.6055,                 1.2029,                 1.6297,              0.0015255,              0.0015255,              0.0015255
                      5,                  1.548,                 1.2357,                 1.5654,                0.72581,                0.67731,                0.64646,                0.35963,                 1.5107,                 1.1039,                 1.5528,              0.0014784,              0.0014784,              0.0014784
                      6,                 1.4636,                 1.1486,                 1.4848,                0.73541,                0.68659,                0.67133,                0.39367,                 1.4153,                 1.0359,                 1.5013,              0.0014312,              0.0014312,              0.0014312
                      7,                 1.3868,                 1.1049,                 1.4247,                0.71155,                0.71589,                0.68972,                0.40744,                  1.387,                 1.0108,                 1.4598,              0.0013841,              0.0013841,              0.0013841
                      8,                 1.3513,                 1.0713,                 1.3848,                0.74156,                0.70859,                0.70384,                0.42893,                 1.3227,                0.95506,                 1.4262,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.2792,                 1.0027,                 1.3588,                 0.7502,                0.70916,                0.71233,                  0.435,                 1.3072,                0.93792,                 1.4219,              0.0012898,              0.0012898,              0.0012898
                     10,                 1.2526,                0.98486,                 1.3334,                  0.739,                0.72315,                0.72502,                0.44921,                   1.29,                0.89585,                 1.4055,              0.0012426,              0.0012426,              0.0012426
                     11,                 1.2192,                0.93592,                 1.3056,                0.74259,                0.73558,                0.72821,                0.46516,                 1.2578,                0.88655,                 1.3667,              0.0011955,              0.0011955,              0.0011955
                     12,                 1.1762,                0.92574,                 1.2822,                0.76653,                0.72176,                0.73374,                 0.4674,                 1.2486,                0.87424,                  1.363,              0.0011483,              0.0011483,              0.0011483
                     13,                 1.1664,                0.91185,                 1.2811,                0.77167,                0.73646,                0.75464,                0.48185,                 1.2198,                0.84736,                 1.3667,              0.0011012,              0.0011012,              0.0011012
                     14,                 1.1038,                 0.8701,                 1.2466,                0.77634,                 0.7169,                0.74223,                0.48907,                 1.1619,                0.84882,                 1.3212,               0.001054,               0.001054,               0.001054
                     15,                 1.1235,                  0.887,                 1.2582,                0.77606,                0.72786,                0.75921,                0.49615,                 1.1832,                0.83619,                 1.3112,              0.0010069,              0.0010069,              0.0010069
                     16,                 1.1292,                0.85853,                 1.2657,                0.79262,                0.71735,                 0.7559,                 0.4973,                 1.1823,                0.82342,                 1.3199,             0.00095972,             0.00095972,             0.00095972
                     17,                 1.0624,                0.82251,                 1.1963,                0.79018,                0.72758,                0.76094,                0.50731,                 1.1438,                 0.8127,                 1.2974,             0.00091256,             0.00091256,             0.00091256
                     18,                 1.0796,                0.82778,                 1.2307,                0.80171,                0.72815,                0.76579,                0.51325,                  1.131,                0.79062,                 1.2837,             0.00086541,             0.00086541,             0.00086541
                     19,                 1.0417,                0.80701,                  1.207,                0.79029,                0.72667,                0.76139,                0.51598,                 1.1077,                0.78803,                 1.2833,             0.00081826,             0.00081826,             0.00081826
                     20,                 1.0068,                0.79362,                 1.1752,                0.78333,                 0.7424,                0.76377,                0.52453,                 1.0834,                0.77494,                 1.2631,             0.00077111,             0.00077111,             0.00077111
                     21,                 1.0203,                0.79939,                 1.1719,                0.79562,                0.71102,                0.75806,                0.52105,                 1.0737,                0.77464,                 1.2476,             0.00072395,             0.00072395,             0.00072395
                     22,                 0.9997,                0.78399,                 1.1691,                0.77657,                0.74405,                0.76524,                0.52545,                   1.07,                 0.7513,                  1.248,              0.0006768,              0.0006768,              0.0006768
                     23,                0.97619,                0.76767,                 1.1731,                0.80412,                0.72553,                0.76665,                0.52988,                 1.0655,                 0.7561,                 1.2441,             0.00062965,             0.00062965,             0.00062965
                     24,                 0.9609,                0.73843,                 1.1495,                0.81525,                0.71974,                0.77198,                0.53551,                  1.043,                0.73761,                 1.2301,              0.0005825,              0.0005825,              0.0005825
                     25,                0.96577,                0.73502,                 1.1253,                 0.7866,                0.72067,                0.76232,                0.51898,                 1.0803,                0.77883,                 1.2544,             0.00053535,             0.00053535,             0.00053535
                     26,                0.92003,                0.69883,                 1.1006,                0.79897,                0.73039,                0.77756,                0.53639,                 1.0638,                0.75087,                 1.2368,             0.00048819,             0.00048819,             0.00048819
