                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2909,                0.56355,                0.94784,                0.97476,                0.96046,                 0.9693,                0.63068,                  1.255,                 0.5175,                0.93385,             0.00066551,             0.00066551,             0.00066551
                      1,                 1.3602,                0.59318,                0.96871,                0.97015,                0.95586,                0.96504,                0.59183,                 1.3632,                0.56129,                0.95905,              0.0013146,              0.0013146,              0.0013146
                      2,                 1.4708,                0.65046,                0.99918,                0.94928,                0.93486,                0.94653,                0.53675,                  1.502,                0.62237,                0.98862,              0.0019461,              0.0019461,              0.0019461
                      3,                  1.512,                0.67782,                 1.0062,                0.95984,                0.94569,                0.95984,                0.56895,                 1.3969,                 0.5854,                0.96976,              0.0019208,              0.0019208,              0.0019208
                      4,                 1.5361,                0.69794,                 1.0175,                0.96229,                0.94907,                0.96148,                0.56397,                 1.4246,                0.61188,                0.97569,              0.0019208,              0.0019208,              0.0019208
                      5,                 1.5408,                 0.6813,                 1.0151,                0.96014,                0.94249,                0.95095,                0.54895,                 1.4468,                0.60587,                0.98238,              0.0018944,              0.0018944,              0.0018944
                      6,                 1.5188,                0.67025,                 1.0105,                0.96342,                0.94518,                0.95905,                0.55905,                 1.4401,                0.59718,                0.98471,               0.001868,               0.001868,               0.001868
                      7,                 1.5377,                0.68142,                  1.017,                0.96214,                 0.9453,                0.96196,                0.55747,                 1.4366,                0.61164,                0.97776,              0.0018416,              0.0018416,              0.0018416
                      8,                 1.5355,                0.68323,                 1.0089,                0.95937,                 0.9395,                0.95391,                0.54974,                 1.4634,                0.61112,                0.98421,              0.0018152,              0.0018152,              0.0018152
                      9,                 1.5526,                  0.696,                 1.0207,                0.95746,                0.93924,                0.95687,                 0.5372,                 1.5105,                0.62306,                 1.0026,              0.0017888,              0.0017888,              0.0017888
                     10,                   1.53,                0.68247,                 1.0133,                0.96079,                0.94316,                0.95686,                0.55194,                 1.4407,                0.60835,                 0.9816,              0.0017624,              0.0017624,              0.0017624
                     11,                 1.5265,                0.67706,                 1.0169,                0.96241,                0.94667,                0.96085,                 0.5628,                 1.4311,                0.60557,                0.97985,               0.001736,               0.001736,               0.001736
                     12,                 1.5364,                0.67789,                 1.0196,                0.95758,                0.94696,                0.95792,                0.57072,                 1.4128,                0.59917,                0.97143,              0.0017096,              0.0017096,              0.0017096
                     13,                 1.5097,                0.67599,                 1.0092,                0.95671,                0.94604,                0.96027,                0.56107,                 1.4387,                0.60259,                0.97865,              0.0016832,              0.0016832,              0.0016832
                     14,                 1.5218,                0.67526,                 1.0211,                0.96323,                0.94768,                0.95855,                0.55841,                 1.4108,                0.57811,                0.97334,              0.0016568,              0.0016568,              0.0016568
                     15,                 1.5036,                0.67015,                 1.0051,                0.96032,                0.94186,                0.95475,                0.56098,                 1.4546,                0.60944,                 0.9838,              0.0016304,              0.0016304,              0.0016304
                     16,                 1.5217,                0.67296,                 1.0187,                0.96764,                0.95054,                0.96082,                 0.5716,                 1.3707,                0.57252,                0.96457,               0.001604,               0.001604,               0.001604
                     17,                 1.4939,                0.66301,                0.99824,                 0.9668,                0.95072,                0.96055,                0.57009,                 1.4038,                0.58798,                 0.9681,              0.0015776,              0.0015776,              0.0015776
                     18,                 1.4914,                0.65748,                  1.005,                0.96351,                0.94763,                0.95938,                0.56904,                 1.3843,                0.58475,                0.96536,              0.0015512,              0.0015512,              0.0015512
                     19,                 1.4618,                0.64089,                0.99613,                0.96239,                0.95156,                0.96151,                0.57495,                 1.3848,                0.57741,                0.96271,              0.0015248,              0.0015248,              0.0015248
                     20,                 1.4726,                0.65178,                 1.0049,                0.96771,                0.94613,                0.96308,                0.58671,                 1.3582,                0.56994,                0.95698,              0.0014984,              0.0014984,              0.0014984
                     21,                 1.4659,                0.64321,                0.99714,                 0.9674,                 0.9497,                0.96366,                0.59327,                 1.3565,                0.56583,                0.95542,               0.001472,               0.001472,               0.001472
                     22,                 1.4501,                0.63424,                0.99359,                0.96689,                0.95349,                0.96571,                0.59514,                 1.3629,                0.55653,                0.96003,              0.0014456,              0.0014456,              0.0014456
                     23,                 1.4452,                0.62971,                0.98864,                0.96967,                0.95697,                 0.9683,                0.60271,                   1.32,                0.55133,                0.94782,              0.0014192,              0.0014192,              0.0014192
                     24,                 1.4387,                0.63099,                0.98701,                0.96794,                0.95611,                0.96573,                0.60113,                 1.3213,                0.54518,                0.94428,              0.0013928,              0.0013928,              0.0013928
                     25,                 1.4382,                 0.6311,                0.98813,                0.97141,                0.95514,                0.96644,                0.60055,                 1.3326,                0.54435,                0.95091,              0.0013664,              0.0013664,              0.0013664
                     26,                 1.4261,                0.62708,                0.98677,                0.97346,                0.95962,                0.97116,                0.60887,                 1.3032,                0.54774,                0.94262,                0.00134,                0.00134,                0.00134
                     27,                 1.3896,                0.61192,                0.98063,                0.97069,                0.95546,                0.96876,                0.61118,                 1.2888,                0.54093,                0.94015,              0.0013136,              0.0013136,              0.0013136
                     28,                 1.4016,                0.61167,                0.97757,                 0.9715,                0.95821,                0.96962,                0.61326,                 1.2867,                0.53326,                0.93891,              0.0012872,              0.0012872,              0.0012872
                     29,                 1.3716,                0.60564,                 0.9722,                0.97138,                0.95827,                0.96836,                0.62295,                 1.2611,                0.52754,                0.93326,              0.0012608,              0.0012608,              0.0012608
                     30,                 1.3821,                0.60049,                0.97616,                0.96975,                0.95653,                0.96795,                0.61921,                 1.2757,                0.53095,                0.93522,              0.0012344,              0.0012344,              0.0012344
                     31,                 1.3777,                 0.6033,                0.97053,                0.97003,                   0.96,                0.97149,                0.62441,                 1.2645,                0.51735,                 0.9332,               0.001208,               0.001208,               0.001208
                     32,                  1.344,                0.59166,                0.95896,                0.97202,                0.95978,                0.96913,                0.62359,                 1.2671,                0.51826,                0.93313,              0.0011816,              0.0011816,              0.0011816
